[META] fileB_5m.bin.meta.json: 1280 blocos x 4096 B  sha256=d143576ed9c74baf...
[SEEDER] 1280 blocos carregados de 'fileB_5m.bin'
[SEEDER] aguardando requisicoes... (Ctrl+C para encerrar)
[SERVER] ouvindo na porta 5000 (select/non-blocking)
[SERVER] nova conexao: 127.0.0.1:60330
[SERVER] bloco 0 -> 127.0.0.1:60330
[SERVER] bloco 1 -> 127.0.0.1:60330
[SERVER] bloco 2 -> 127.0.0.1:60330
[SERVER] bloco 3 -> 127.0.0.1:60330
[SERVER] bloco 4 -> 127.0.0.1:60330
[SERVER] bloco 5 -> 127.0.0.1:60330
[SERVER] bloco 6 -> 127.0.0.1:60330
[SERVER] bloco 7 -> 127.0.0.1:60330
[SERVER] bloco 8 -> 127.0.0.1:60330
[SERVER] bloco 9 -> 127.0.0.1:60330
[SERVER] bloco 10 -> 127.0.0.1:60330
[SERVER] bloco 11 -> 127.0.0.1:60330
[SERVER] bloco 12 -> 127.0.0.1:60330
[SERVER] bloco 13 -> 127.0.0.1:60330
[SERVER] bloco 14 -> 127.0.0.1:60330
[SERVER] bloco 15 -> 127.0.0.1:60330
[SERVER] bloco 16 -> 127.0.0.1:60330
[SERVER] bloco 17 -> 127.0.0.1:60330
[SERVER] bloco 18 -> 127.0.0.1:60330
[SERVER] bloco 19 -> 127.0.0.1:60330
[SERVER] bloco 20 -> 127.0.0.1:60330
[SERVER] bloco 21 -> 127.0.0.1:60330
[SERVER] bloco 22 -> 127.0.0.1:60330
[SERVER] bloco 23 -> 127.0.0.1:60330
[SERVER] bloco 24 -> 127.0.0.1:60330
[SERVER] bloco 25 -> 127.0.0.1:60330
[SERVER] bloco 26 -> 127.0.0.1:60330
[SERVER] bloco 27 -> 127.0.0.1:60330
[SERVER] bloco 28 -> 127.0.0.1:60330
[SERVER] bloco 29 -> 127.0.0.1:60330
[SERVER] bloco 30 -> 127.0.0.1:60330
[SERVER] bloco 31 -> 127.0.0.1:60330
[SERVER] bloco 32 -> 127.0.0.1:60330
[SERVER] bloco 33 -> 127.0.0.1:60330
[SERVER] bloco 34 -> 127.0.0.1:60330
[SERVER] bloco 35 -> 127.0.0.1:60330
[SERVER] bloco 36 -> 127.0.0.1:60330
[SERVER] bloco 37 -> 127.0.0.1:60330
[SERVER] bloco 38 -> 127.0.0.1:60330
[SERVER] bloco 39 -> 127.0.0.1:60330
[SERVER] bloco 40 -> 127.0.0.1:60330
[SERVER] bloco 41 -> 127.0.0.1:60330
[SERVER] bloco 42 -> 127.0.0.1:60330
